# CIBxCMB lensing power spectra
# Lensing convergence kappa is used 
# CIB is taken from the GNILC data# Columns are ell and Cl
# Units are Jy
Cl,ell
0.05880359473895084,65.5
0.03931923546235639,193.5
0.02430670171550496,321.5
0.014807844278763199,449.5
0.009934173113604724,577.5
0.006722987076602188,705.5
0.005243524936663745,833.5
0.004124819598701108,961.5
0.0029369292779069097,1089.5
0.0029899101427400487,1217.5
0.0028099152855152903,1345.5
0.002177695390525136,1473.5
0.0015469599099369796,1601.5
0.0017844256495286419,1729.5
0.0013556762999498897,1857.5
